2026-06-18 00:22:43 | INFO     | SessionManager | Preference updated: streaming=True
2026-06-18 00:22:43 | INFO     | SessionManager | Preference updated: show_sources=True
2026-06-18 00:22:43 | INFO     | SessionManager | Preference updated: show_eval=True
2026-06-18 00:22:45 | INFO     | LLM | ✅ llama3.2:3b is available
2026-06-18 00:23:03 | INFO     | SessionManager | New session started: 2026-06-18 00:23:03
2026-06-18 00:23:03 | INFO     | Evaluator | RAG Evaluator initialized
2026-06-18 00:23:05 | INFO     | LLM | ✅ llama3.2:3b is available
2026-06-18 00:23:07 | INFO     | Embeddings | ✅ nomic-embed-text is available
2026-06-18 00:23:07 | INFO     | SessionManager | Preference updated: streaming=True
2026-06-18 00:23:07 | INFO     | SessionManager | Preference updated: show_sources=True
2026-06-18 00:23:07 | INFO     | SessionManager | Preference updated: show_eval=True
2026-06-18 00:23:09 | INFO     | LLM | ✅ llama3.2:3b is available
2026-06-18 00:23:18 | INFO     | LLM | ✅ llama3.2:3b is available
2026-06-18 00:23:20 | INFO     | Embeddings | ✅ nomic-embed-text is available
2026-06-18 00:23:20 | INFO     | Pipeline | 📄 Indexing file: README.md
2026-06-18 00:23:20 | INFO     | Loader | Loading uploaded file: README.md
2026-06-18 00:23:20 | INFO     | Loader | Loading text file from bytes: README.md
2026-06-18 00:23:20 | INFO     | Chunker | Split 1 documents into 9 chunks
2026-06-18 00:23:20 | INFO     | Pipeline | Creating embeddings for 9 chunks...
2026-06-18 00:23:20 | INFO     | Embeddings | Embedding 9 texts in batches of 10...
2026-06-18 00:23:41 | INFO     | Embeddings | Embedded 9/9 texts
2026-06-18 00:23:41 | INFO     | Embeddings | Batch embedding complete: 9 vectors
2026-06-18 00:23:42 | INFO     | VectorStore | Stored 9/9 chunks
2026-06-18 00:23:42 | INFO     | VectorStore | ✅ Total stored: 9 chunks
2026-06-18 00:23:42 | INFO     | Pipeline | ✅ Indexed README.md: 9 chunks stored
2026-06-18 00:23:42 | INFO     | SessionManager | File tracked: README.md (9 chunks)
2026-06-18 00:23:42 | INFO     | SessionManager | Preference updated: streaming=True
2026-06-18 00:23:42 | INFO     | SessionManager | Preference updated: show_sources=True
2026-06-18 00:23:42 | INFO     | SessionManager | Preference updated: show_eval=True
2026-06-18 00:23:44 | INFO     | LLM | ✅ llama3.2:3b is available
2026-06-18 00:24:09 | INFO     | LLM | ✅ llama3.2:3b is available
2026-06-18 00:24:11 | INFO     | Embeddings | ✅ nomic-embed-text is available
2026-06-18 00:24:12 | INFO     | SessionManager | Preference updated: streaming=True
2026-06-18 00:24:12 | INFO     | SessionManager | Preference updated: show_sources=True
2026-06-18 00:24:12 | INFO     | SessionManager | Preference updated: show_eval=True
2026-06-18 00:24:12 | INFO     | Pipeline | ❓ Question: how is my README for my RAG project...
2026-06-18 00:24:12 | INFO     | Retriever | Retrieving for: 'how is my README for my RAG project...'
2026-06-18 00:24:15 | INFO     | VectorStore | Found 5 relevant chunks
2026-06-18 00:24:15 | INFO     | Retriever | Retrieved 5 relevant chunks (similarity >= 0.3)
2026-06-18 00:24:15 | INFO     | Retriever | Context prepared: 3052 chars from 3 chunks
2026-06-18 00:24:22 | INFO     | Retriever | Retrieving for: 'how is my README for my RAG project...'
2026-06-18 00:24:24 | INFO     | VectorStore | Found 5 relevant chunks
2026-06-18 00:24:24 | INFO     | Retriever | Retrieved 5 relevant chunks (similarity >= 0.3)
2026-06-18 00:24:24 | INFO     | Evaluator | Evaluating response for: 'how is my README for my RAG project...'
2026-06-18 00:24:24 | INFO     | Evaluator | Evaluation complete: overall=0.753, grade=B+ 👍
2026-06-18 00:24:24 | INFO     | SessionManager | Message #1 added to chat history
2026-06-18 00:24:27 | INFO     | LLM | ✅ llama3.2:3b is available
2026-06-18 00:24:29 | INFO     | Embeddings | ✅ nomic-embed-text is available
2026-06-18 00:24:29 | INFO     | SessionManager | Preference updated: streaming=True
2026-06-18 00:24:29 | INFO     | SessionManager | Preference updated: show_sources=True
2026-06-18 00:24:29 | INFO     | SessionManager | Preference updated: show_eval=True
2026-06-18 00:24:31 | INFO     | LLM | ✅ llama3.2:3b is available
2026-06-18 00:25:48 | INFO     | LLM | ✅ llama3.2:3b is available
2026-06-18 00:25:50 | INFO     | Embeddings | ✅ nomic-embed-text is available
2026-06-18 00:25:50 | INFO     | Pipeline | 📄 Indexing file: 12+Rules+to+Learn+to+Code+[2nd+Edition]+2022 (1).pdf
2026-06-18 00:25:50 | INFO     | Loader | Loading uploaded file: 12+Rules+to+Learn+to+Code+[2nd+Edition]+2022 (1).pdf
2026-06-18 00:25:50 | INFO     | Loader | Loading PDF from bytes: 12+Rules+to+Learn+to+Code+[2nd+Edition]+2022 (1).pdf
